,Name,Position
0,UI01,Senior Full-Stack Developer
1,UI02,Full-Stack Developer
2,UI03,Senior Back End Developer
3,UI04,Senior Front End developer
4,UI05,Backend Developer
5,UI06,Senior DevOps
6,UI07,Senior Full-Stack Developer
7,UI08,DevOps
8,UI09,Junior Front End Developer
9,UI10,Front End Developer
10,UI11,Quality Assurance
11,UI12,Senior Front End Developer
12,UI13,Senior Back End Developer
13,UI14,Front End Developer
14,UI15,Project Manager / Tech Lead
15,UI16,Full-Stack Developer
16,UI17,Junior Front End Developer
17,UI18,Full-Stack Developer
18,UI19,Junior Back End Developer
19,UI20,Back End Developer
20,UI21,Senior Full-Stack Developer
21,UI22,DevOps
22,UI23,Back End Developer
23,UI24,Designer
24,UI25,Back End Developer
25,UI26,Junior Back End Developer
26,UI27,Front End Developer
27,UI28,Quality Assurance
28,UI29,Quality Assurance
29,UI30,Project Manager / Tech Lead
30,UI31,DevOps
31,UI32,Project Manager / Tech Lead
32,UI33,Back End Developer
33,UI34,Full-Stack Developer
34,UI35,Senior Full-Stack developer
35,UI36,Senior Full-Stack developer
36,UI37,Front End Developer
37,UI38,Project Manager / Tech Lead
38,UI39,Junior Front End Developer
39,UI40,Front End Developer
40,UI41,Senior Front End Developer
41,UI42,Junior Front End Developer
42,UI43,Full-Stack Developer
43,UI44,Back End Developer 
44,UI45,Project Manager / Tech Lead
45,UI46,Quality Assurance
46,UI47,Full-Stack Developer
