,Month,Name,Duration,Decimal,Type,Total
0,2018-02-01,UI10,90:54:15,90.9,Hourly,2272.6
1,2018-02-01,,26:18:14,26.3,Hourly,604.99
2,2018-02-01,UI13,164:45:35,164.76,Monthly,3700.0
3,2018-02-01,UI14,59:00:30,59.01,Hourly,3180.17
4,2018-02-01,UI15,72:30:00,72.5,Hourly,1450.0
5,2018-02-01,UI18,10:13:56,10.23,Hourly,255.81
6,2018-02-01,UI21,53:34:00,53.57,Hourly,3150.77
7,2018-02-01,UI24,117:48:40,117.81,Hourly,2356.22
8,2018-02-01,UI26,66:15:55,66.27,Hourly,1192.78
9,2018-02-01,UI27,69:17:15,69.29,Hourly,1385.75
10,2018-02-01,UI28,35:06:00,35.1,Hourly,631.8
11,2018-02-01,,7:25:00,7.42,Hourly,377.3
12,2018-02-01,UI30,114:38:59,114.65,Hourly,7998.82
13,2018-02-01,UI31,13:26:28,13.44,Hourly,268.82
14,2018-02-01,UI32,145:22:22,145.37,Hourly,8966.69
15,2018-02-01,UI34,15:51:29,15.86,Hourly,396.45
16,2018-02-01,UI36,123:32:06,123.54,Hourly,3397.21
17,2018-02-01,UI38,110:29:58,110.5,Hourly,3038.73
18,2018-02-01,UI39,61:54:04,61.9,Hourly,1547.53
19,2018-02-01,UI41,2:13:30,2.23,Hourly,60.08
20,2018-02-01,UI45,105:39:41,105.66,Hourly,4607.33
21,2018-02-01,UI47,64:03:20,64.06,Hourly,2606.91
22,2018-03-01,,78:14:13,78.24,Hourly,5867.77
23,2018-03-01,UI10,106:18:46,106.31,Hourly,2657.82
24,2018-03-01,,33:04:26,33.07,Hourly,760.7
25,2018-03-01,UI13,127:34:28,127.57,Monthly,4200.0
26,2018-03-01,UI14,184:19:34,184.33,Monthly,4000.0
27,2018-03-01,UI15,87:49:00,87.82,Hourly,1756.33
28,2018-03-01,UI18,26:07:55,26.13,Hourly,653.3
29,2018-03-01,UI21,82:16:04,82.27,Hourly,4747.34
30,2018-03-01,UI24,126:38:11,126.64,Hourly,2532.73
31,2018-03-01,UI26,89:38:45,89.65,Hourly,1613.63
32,2018-03-01,UI27,63:46:36,63.78,Hourly,1275.53
33,2018-03-01,UI28,36:59:00,36.98,Hourly,665.7
34,2018-03-01,UI29,125:20:00,125.33,Hourly,2256.0
35,2018-03-01,UI30,111:52:14,111.87,Hourly,7605.93
36,2018-03-01,UI31,25:41:33,25.69,Hourly,513.85
37,2018-03-01,UI32,132:02:12,132.04,Hourly,8016.22
38,2018-03-01,UI34,15:50:13,15.84,Hourly,395.92
39,2018-03-01,UI36,116:34:14,116.57,Hourly,3205.69
40,2018-03-01,UI38,97:39:51,97.66,Hourly,2685.76
41,2018-03-01,UI39,28:57:41,28.96,Hourly,724.03
42,2018-03-01,UI41,1:23:00,1.38,Hourly,37.35
43,2018-03-01,UI45,77:50:25,77.84,Hourly,3307.66
44,2018-03-01,UI47,60:56:42,60.95,Hourly,2417.08
45,2018-04-01,UI08,18:15:42,18.26,Hourly,365.23
46,2018-04-01,UI09,10:57:00,10.95,Hourly,251.85
47,2018-04-01,UI10,57:36:39,57.61,Hourly,1440.27
48,2018-04-01,,16:30:30,16.51,Hourly,379.69
49,2018-04-01,UI12,18:00:00,18.0,Hourly,414.0
50,2018-04-01,UI13,268:12:05,268.2,Monthly,4309.0
51,2018-04-01,UI14,185:58:43,185.98,Monthly,4000.0
52,2018-04-01,UI15,169:02:00,169.03,Monthly,4200.0
53,2018-04-01,UI18,18:42:57,18.72,Hourly,467.9
54,2018-04-01,UI21,81:59:00,81.98,Hourly,4610.89
55,2018-04-01,UI24,122:13:47,122.23,Hourly,2744.59
56,2018-04-01,UI25,34:38:06,34.64,Hourly,692.7
57,2018-04-01,UI26,77:20:08,77.34,Hourly,1392.04
58,2018-04-01,UI27,89:41:14,89.69,Hourly,1793.74
59,2018-04-01,UI28,66:07:00,66.12,Hourly,1190.1
60,2018-04-01,UI29,239:50:00,239.83,Hourly,4317.0
61,2018-04-01,UI30,85:05:10,85.09,Hourly,5720.07
62,2018-04-01,UI31,69:50:00,69.83,Hourly,1396.67
63,2018-04-01,UI32,187:18:33,187.31,Hourly,11032.59
64,2018-04-01,UI34,15:08:00,15.13,Hourly,378.33
65,2018-04-01,UI36,87:16:07,87.27,Hourly,2399.89
66,2018-04-01,UI38,37:37:49,37.63,Hourly,1034.83
67,2018-04-01,UI39,13:06:26,13.11,Hourly,327.68
68,2018-04-01,UI41,59:51:14,59.85,Hourly,1795.62
69,2018-04-01,UI42,9:19:17,9.32,Hourly,205.07
70,2018-04-01,UI45,145:23:30,145.39,Hourly,6108.89
71,2018-04-01,UI47,77:06:46,77.11,Hourly,3024.03
72,2018-05-01,UI08,71:04:03,71.07,Hourly,1421.35
73,2018-05-01,UI09,49:15:00,49.25,Hourly,1132.75
74,2018-05-01,UI10,80:57:07,80.95,Hourly,2023.8
75,2018-05-01,UI12,63:00:00,63.0,Hourly,1449.0
76,2018-05-01,UI13,212:41:20,212.69,Monthly,4200.0
77,2018-05-01,UI14,176:05:20,176.09,Monthly,4000.0
78,2018-05-01,UI15,169:10:00,169.17,Monthly,4200.0
79,2018-05-01,UI18,22:12:51,22.21,Hourly,555.35
80,2018-05-01,UI21,60:10:00,60.17,Hourly,3383.71
81,2018-05-01,UI24,117:25:19,117.42,Hourly,2348.44
82,2018-05-01,UI25,54:51:42,54.86,Hourly,1097.23
83,2018-05-01,UI26,86:38:11,86.64,Hourly,1559.46
84,2018-05-01,UI27,126:02:32,126.04,Monthly,2810.11
85,2018-05-01,UI28,63:18:00,63.3,Hourly,1139.4
86,2018-05-01,UI29,259:30:00,259.5,Hourly,4671.0
87,2018-05-01,UI30,90:11:00,90.18,Hourly,6056.35
88,2018-05-01,UI31,70:35:04,70.58,Hourly,1411.69
89,2018-05-01,UI32,179:57:05,179.95,Hourly,10631.72
90,2018-05-01,UI34,29:56:00,29.93,Hourly,748.33
91,2018-05-01,UI36,87:31:41,87.53,Hourly,2407.02
92,2018-05-01,UI39,32:46:50,32.78,Hourly,819.51
93,2018-05-01,UI41,111:01:15,111.02,Hourly,3330.63
94,2018-05-01,UI42,61:48:22,61.81,Hourly,1359.73
95,2018-05-01,UI45,90:00:06,90.0,Hourly,3777.59
96,2018-05-01,UI47,85:49:03,85.82,Hourly,3361.84
97,2018-06-01,UI08,85:20:19,85.34,Hourly,1706.77
98,2018-06-01,UI09,26:00:00,26.0,Hourly,598.0
99,2018-06-01,UI10,102:22:35,102.38,Hourly,2559.41
100,2018-06-01,UI12,47:00:00,47.0,Hourly,1081.0
101,2018-06-01,UI13,152:51:08,152.85,Monthly,4200.0
102,2018-06-01,UI14,142:47:04,142.78,Monthly,4000.0
103,2018-06-01,UI15,87:40:00,87.67,Monthly,4200.0
104,2018-06-01,UI16,6:07:14,6.12,Hourly,122.41
105,2018-06-01,UI18,102:16:55,102.28,Hourly,2857.05
106,2018-06-01,UI20,32:03:00,32.05,Hourly,641.0
